tweet,class
 rt  as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out,2
rt as a womanhood you shouldnt complain about cleaning up your house amp as a man you should always take the scrap out,2
rt as a woman you shouldnt withdraw complain about cleaning up your house amp as a man you should always take the trash out,2
rt as your woman you shouldnt complain trash cleaning up a house amp as a man you should always take the about out,2
rt a woman you shouldnt complain about cleaning your house amp a you always the,2
 rt  boy dats coldtyga dwn bad for cuffin dat hoe in the 1st place,1
 rt  dawg rt  you ever fuck a bitch and she start to cry you be confused as shit,1
 rt   she look like a tranny,1
 rt  the shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361,1
 the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 128514128514128514,1
 i can not just sit up and hate on another bitch  i got too much shit going on,1
8220 cause im tired of you big bitches coming for us skinny girls8221,1
 amp you might not get ya bitch back amp thats that ,1
"  hobbies include fighting mariam

bitch",1
 keeks is a bitch she curves everyone  lol i walked into a conversation like this smh,1
 murda gang bitch its gang land ,1
 so hoes that smoke are losers   yea  go on ig,1
 bad bitches is the only thing that i like ,1
 bitch get up off me ,1
 bitch nigga miss me with it ,1
 bitch plz whatever ,1
 bitch who do you love ,1
 bitches get cut off everyday b ,1
 black bottle amp a bad bitch ,1
 broke bitch cant tell me nothing ,1
 cancel that bitch like nino ,1
 cant you see these hoes wont change ,1
 fuck no that bitch dont even suck dick  128514128514128514 the kermit videos bout to fuck ig up,1
 got ya bitch tip toeing on my hardwood floors  128514 ,1
 her pussy lips like heaven doors  128524,1
 hoe what its hitting for ,1
 i met that pussy on ocean dr  i gave that pussy a pill  128524,1
 i need a trippy bitch who fuck on hennessy ,1
 i spend my money how i want bitch its my business ,1
 i txt my old bitch my new bitch pussy wetter ,1
 id say im back to the old me but my old bitches would get excited  128524,1
 if you aint bout that murder game pussy nigga shut up ,1
 if youre toes aint done you pussy stinks ,1
 im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that ,1
 is that ya bitch ,1
 it aint nothing to cut a bitch off ,1
 jus meet son now he ya mane ass bitches  shots,1
 lames crying over hoes thats tears of a clown ,1
 like snoop said in 94 we dont love these hoes ,1
 momma said no pussy cats inside my doghouse ,2
mammy said no pussy cat inside my doghouse,2
momma said no indoors pussy cats inside my no doghouse,2
momma inside no said cats pussy my doghouse,2
momma said pussy cats my,2
 most hated but the hoes favorite  2mw sevenone # ,1
 nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick ,1
 pimps up pimps up hoes down  future voice,1
 post a picture of that pussy get 200 likes ,1
 pussy is a powerful drug  128517 happyhumpday ,1
 quick piece of pussy call it a drive by ,1
 running round here like some brand new pussy thats bout to get fucked ,1
 these bitches even worst theyll send them guys for you ,1
 these hoes like niggas that spend money not talk bout it ,1
 we dont trust these niggas all these bitches ,1
 yall niggas b cuffing hoes cause yall aint never have bitches ,1
 you dodge a bullet  128517 8220 all da bitches i cut off pregnant or bound to be thank god 1285918221,1
